date	flitch	digiblockID	stage	rl	materialType	tonnes	grade	ounces
8/2/25	2	CPO_1_4800_0053_HG_002	1	4800	HG	1,306	2.48	104
8/2/25	2	CPO_1_4800_0053_HG_003	1	4800	HG	1,255	1.54	62
8/2/25	2	CPO_1_4800_0053_LG_001	1	4800	LG	828	0.89	24
8/2/25	2	CPO_1_4800_0053_LG_002	1	4800	LG	739	1.03	24
8/2/25	2	CPO_1_4800_0053_LG_003	1	4800	LG	2,308	0.58	43
8/2/25	2	CPO_1_4800_0053_LG_004	1	4800	LG	974	1.11	35
8/2/25	2	CPO_1_4800_0053_LG_005	1	4800	LG	2,018	0.71	46
8/2/25	2	CPO_1_4800_0053_LG_006	1	4800	LG	2,546	0.58	48
8/2/25	2	CPO_1_4800_0053_LG_007	1	4800	LG	830	1.41	38
8/2/25	2	CPO_1_4800_0053_MW_001	1	4800	MW	1,341	0.49	21
8/17/25	1	CPO_1_4825_0063_MW_001	1	4825	MW	698	0.45	10
8/17/25	2	CPO_1_4800_0063_LG_001	1	4800	LG	702	0.55	12
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
								0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1							0
	1		2					0
	1		2					0
	1		2					0
	1		2					0
	1		2					0
	1		2					0
