stage	date	truckID	shift	digblock	flitch	materialType	sp	tonnesTruck	planGrade	dilutedGrade	grabSample	ounces	comments
1	8/19/25	DT005	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT005	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT005	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT005	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT005	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT005	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT005	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_003	4825	LG	LG7	80	0.509655345	0.51	0.00	1	Mined to 483m RL
